ano,cod_regiao,nome_regiao,cod_uf,nome_uf,cod_meso,nome_meso,cod_micro,nome_micro,cod_mun,cod_mundv,nome_mun
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25016,Guarabira,250630,2506301,Guarabira
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25018,Itabaiana,250640,2506400,Gurinhém
2015,2,Nordeste,25,Paraíba,2502,Borborema,25011,Cariri Oriental,250650,2506509,Gurjão
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25006,Itaporanga,250660,2506608,Ibiara
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25005,Piancó,250260,2502607,Igaracy
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25007,Serra do Teixeira,250670,2506707,Imaculada
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25018,Itabaiana,250680,2506806,Ingá
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25018,Itabaiana,250690,2506905,Itabaiana
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25006,Itaporanga,250700,2507002,Itaporanga
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25020,Litoral Norte,250710,2507101,Itapororoca
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25018,Itabaiana,250720,2507200,Itatuba
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25020,Litoral Norte,250730,2507309,Jacaraú
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25001,Catolé do Rocha,250740,2507408,Jericó
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25022,João Pessoa,250750,2507507,João Pessoa
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25002,Cajazeiras,251365,2513653,Joca Claudino
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25018,Itabaiana,250760,2507606,Juarez Távora
2015,2,Nordeste,25,Paraíba,2502,Borborema,25009,Seridó Oriental Paraibano,250770,2507705,Juazeirinho
2015,2,Nordeste,25,Paraíba,2502,Borborema,25008,Seridó Ocidental Paraibano,250780,2507804,Junco do Seridó
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25021,Sapé,250790,2507903,Juripiranga
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25007,Serra do Teixeira,250800,2508000,Juru
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25001,Catolé do Rocha,250810,2508109,Lagoa
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25016,Guarabira,250820,2508208,Lagoa de Dentro
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25017,Campina Grande,250830,2508307,Lagoa Seca
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25003,Sousa,250840,2508406,Lastro
2015,2,Nordeste,25,Paraíba,2502,Borborema,25010,Cariri Ocidental,250850,2508505,Livramento
2015,2,Nordeste,25,Paraíba,2503,Agreste Paraibano,25016,Guarabira,250855,2508554,Logradouro
2015,2,Nordeste,25,Paraíba,2504,Mata Paraibana,25022,João Pessoa,250860,2508604,Lucena
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25004,Patos,250870,2508703,Mãe d'Água
2015,2,Nordeste,25,Paraíba,2501,Sertão Paraibano,25003,Sousa,250880,2508802,Malta
