nome_mun,valor_licitado_licitacao
Santa Luzia,7065590.0
João Pessoa,6856369.94
Monteiro,6688610.0
Conde,5882300.0
Alhandra,4899038.84
Pitimbu,4313100.0
Patos,4166157.0
São Bento,3988233.34
Guarabira,3747041.0
Manaíra,3375150.0
